experiment,group,value,n,hit_at_1_pct,hit_at_3_pct,mrr,source_accuracy_pct,page_accuracy_pct,language_detection_accuracy_pct,response_language_consistency_pct,correctness_proxy_pct,relevance_proxy_pct,groundedness_proxy_pct,completeness_proxy_pct,avg_reference_token_recall,avg_reference_token_f1,avg_latency_seconds,median_latency_seconds,p95_latency_seconds
Fast,overall,overall,180,20.56,61.67,0.371,85.00,20.56,100.00,93.89,52.78,45.00,61.67,40.00,0.614,0.401,0.004,0.004,0.007
GGUF,overall,overall,180,35.00,71.11,0.500,87.78,35.00,100.00,96.67,45.56,36.11,69.44,37.78,0.539,0.350,7.653,7.304,19.162
